#node time(s) x y
0 6.203 482.093 474.637
1 6.206 492.538 36.683
2 6.207 68.720 3.793
0 6.220 482.812 475.332
1 6.222 493.289 36.023
2 6.223 69.719 3.822
0 6.236 483.531 476.028
1 6.237 494.040 35.362
2 6.238 70.719 3.850
0 6.250 484.249 476.723
1 6.253 494.791 34.702
2 6.254 71.718 3.879
0 6.264 484.968 477.419
1 6.265 495.542 34.041
2 6.266 72.718 3.907
0 6.283 485.686 478.114
1 6.733 495.542 34.041
2 6.734 73.718 3.935
0 6.744 486.405 478.809
1 6.745 494.545 33.964
2 6.745 74.717 3.964
0 6.755 487.123 479.505
1 6.756 493.548 33.887
2 6.757 75.717 3.992
0 6.771 487.842 480.200
1 6.772 492.551 33.809
2 6.773 76.716 4.020
